#번호	종류	자리수	예산	예시위치	JP	KO
987	map	1	48	/GC70.MAP@51928	王子も\nちったぁ言うように\nなったじゃねぇか。%b%h	왕자도\n제법 말할 줄\n알게 됐잖아.%b%h
988	map	1	49	/GC70.MAP@52009	幽玄の森では\nヒドイこと言っちまったな・・・。%b%h	유현의 숲에서는\n심한 말을 해 버렸지….%b%h
989	map	1	47	/GC70.MAP@52091	今回は王子のために、\nめいっぱい戦ってやるぜ。%b	이번엔 왕자를 위해\n힘껏 싸워 주지.%b
990	map	1	37	/GC70.MAP@52171	そうだよ、\nみんなの言うとおりだ。%b%h	그래,\n다들 말한 대로야.%b%h
991	map	1	49	/GC70.MAP@52241	最後まで気をぬかずに、\nがんばろうじゃないかい！%b	마지막까지 방심하지 말고\n힘내자고!%b
992	map	2	59	/GC70.MAP@52323	ウッホウッホウッホホッホーッ！\n（↑はげましているらしい）%b	우호우호우호호호!\n（↑격려하는 듯하다）%b
993	map	1	37	/GC70.MAP@52424	いまのは、\nいったい何だったんだ！？%b	방금 그건\n대체 뭐였지!?%b
994	map	1	61	/GC70.MAP@52493	・・・どうやらここが、\nオレたちが目ざしてた場所らしいぜ。%b%h	…아무래도 여기가\n우리가 노리던 곳인 것 같아.%b%h
995	map	1	16	/GC70.MAP@52586	・・・見ろよ。%b	…봐.%b
996	map	1	18	/GC70.MAP@52643	・・・来たか。%b%h	…왔느냐.%b%h
997	map	1	30	/GC70.MAP@52702	もはや、多くはかたるまい。%b%h	더는 말하지 않겠다.%b%h
998	map	1	53	/GC70.MAP@52773	わしに勝つ自信があるなら、\n上ってくるがよかろう。%b%h	나를 이길 자신이 있다면\n올라와 보거라.%b%h
999	map	1	59	/GC70.MAP@52867	・・・もっともキサマらには、\nここから出るすべはないがな。%b	…하긴 네놈들에겐\n여기서 나갈 방법이 없지만.%b
1000	map	1	49	/GC70.MAP@52958	勝つ自信なんて・・・\nそんなもの、あるもんか。%b%h	이길 자신 따위…\n그런 게 있을 리 없어.%b%h
1001	map	1	22	/GC70.MAP@53039	・・・だけど・・・%b%h	…하지만…%b%h
1002	map	1	49	/GC70.MAP@53093	母上がたくしてくれた\n父の剣があるかぎり・・・%b%h	어머니가 맡겨 주신\n아버지의 검이 있는 한…%b%h
1003	map	1	36	/GC70.MAP@53174	ともに戦う仲間がいるかぎり・・・%b%h	함께 싸울 동료가 있는 한…%b%h
1004	map	1	49	/GC70.MAP@53242	お前と戦わずして、\nにげ出すなんてできるもんか！%b	너와 싸우지도 않고\n도망칠 수 있을 리가 없어!%b
1005	map	1	29	/GC70.MAP@53323	だいじょうぶ、\n勝てるさ。%b%h	괜찮아,\n이길 수 있어.%b%h
1006	map	1	38	/GC70.MAP@53384	オレたちの力が合わされば・・・な。%b%h	우리 힘을 합치면…말이야.%b%h
1007	map	1	55	/GC70.MAP@53454	向こうの世界にのこったみんなも\n力を貸してくれるさ。%b%h	저쪽 세계에 남은 모두도\n힘을 빌려줄 거야.%b%h
1008	map	2	19	/GC70.MAP@53541	・・・%s1・・・！%b	…%s1…!%b
1009	map	1	22	/GC70.MAP@53592	みんな・・・・・・%b%h	다들……%b%h
1010	map	1	33	/GC70.MAP@53646	ありがとう！\nボクもがんばるよ！%b	고마워!\n나도 힘낼게!%b
1011	map	1	66	/GC80.MAP@110940	ちくしょう！\nなんでぇ、こんな門！\nオレがちょちょいと開けて・・・%b	젠장!\n뭐야, 이 문!\n내가 금방 열어서…%b
1012	map	1	29	/GC80.MAP@111039	ダメだ！\n時間がなさすぎる！%b	안 돼!\n시간이 너무 없어!%b
1013	map	1	39	/GC80.MAP@111101	ほかの出口をさがした方が\nよさそうだ。%b	다른 출구를 찾는 게\n좋겠어.%b
1014	map	1	41	/GC80.MAP@111173	そんな！\nもう後もどりなんてできないよ！%b	그럴 수가!\n이제 되돌아갈 수도 없어!%b
1015	map	1	45	/GC80.MAP@111247	なんとかして、\n外に出る方法をみつけないと！%b	어떻게든\n밖으로 나갈 길을 찾아야 해!%b
1016	map	1	49	/GC80.MAP@111325	・・・・・・・・・。\n（↑困りはてているらしい）%b	………\n（↑난감한 듯하다）%b
1017	map	1	39	/GC80.MAP@111387	　\n　\n　　　門は開きませんでした。%b%V0	　\n　\n　　　문이 열리지 않았다.%b%V0
1018	map	1	37	/GC80.MAP@111464	ダメだ！\nこの門は開かないっ・・・！%b	안 돼!\n이 문은 안 열려…!%b
1019	map	1	50	/GC80.MAP@111533	ほかに、\n出口となるところを\nさがさないと・・・。%b	다른\n출구가 될 곳을\n찾아야 해….%b
1020	map	1	41	/GC80.MAP@111615	ダメか！\n足場がくずれてきてるってのに！%b	안 되나!\n발판이 무너지고 있는데!%b
1021	map	1	35	/GC80.MAP@111688	ほかに、\n出口はあるのか・・・！？%b	다른\n출구는 있는 거야…!?%b
1022	map	1	54	/GC80.MAP@111755	そんな・・・！\nここだってもう、\nもちそうにないのに！%b	그럴 수가…!\n여기도 이제\n버틸 것 같지 않은데!%b
1023	map	1	31	/GC80.MAP@111841	ほかに、\n出口はないのかしら？%b	다른\n출구는 없을까?%b
1024	map	1	65	/GC80.MAP@111904	なんと！\nこのままでは、\nみな地の底に\nのみこまれてしまいますぞ！%b	이럴 수가!\n이대로는\n모두 땅속으로\n삼켜지고 맙니다!%b
1025	map	1	47	/GC80.MAP@112001	なんとかして\nこの外に出る方法はないものか！？%b	어떻게든\n밖으로 나갈 방법은 없는가!?%b
1026	map	1	36	/GC80.MAP@112128	ほかに出口をさがせということか！？%b	다른 출구를 찾으라는 건가!?%b
1027	map	1	31	/GC80.MAP@112196	え～っ！\nなんでなんでぇ～！？%b	에～엣!\n왜 왜～!?%b
1028	map	1	41	/GC80.MAP@112259	なんでもいいから、\nここから出してよ～！%b	뭐든 좋으니까\n여기서 꺼내 줘～!%b
1029	map	1	25	/GC80.MAP@112332	くそっ！\nなんてこった！%b	젠장!\n이럴 수가!%b
1030	map	1	62	/GC80.MAP@112389	オレが向こうがわへ回って\n門を開けようにも\n時間がなさすぎる！%b	내가 건너편으로 돌아가서\n문을 열려고 해도\n시간이 너무 없어!%b
1031	map	1	30	/GC80.MAP@112483	ほかに何か方法はないのか！？%b	다른 방법은 없는 거야!?%b
1032	map	1	35	/GC80.MAP@112545	ほっほっほっ、\nこれは困ったのう。%b	허허허,\n이거 곤란하구먼.%b
1033	map	1	72	/GC80.MAP@112612	じゃが、こういうときこそ\nおちついて、\nまわりをよく見てみるべきじゃな。%b	하지만 이럴 때일수록\n침착하게\n주위를 잘 살펴봐야지.%b
1034	map	1	31	/GC80.MAP@112716	くそっ！\nどうしろってんだ！？%b	젠장!\n어쩌라는 거야!?%b
1035	map	1	35	/GC80.MAP@112779	ほかに、\n出口はないのか・・・！？%b	다른\n출구는 없는 거야…!?%b
1036	map	2	20	/GC80.MAP@112847	また水晶か・・・。%b	또 수정인가….%b
1037	map	2	78	/GC80.MAP@112900	思えば、この旅で\nいろんな水晶を見てきたが、\nひとっつも金にはならなかったな。%b	생각해 보면 이번 여행에서\n여러 수정을 봤지만\n하나도 돈이 되진 않았군.%b
1038	map	2	60	/GC80.MAP@113066	・・・え～い、\n女々しいぞ、%s11！\nこんなもん、いらねーや！%b	…에잇,\n쩨쩨하다, %s11!\n이런 거 필요 없어!%b
1039	map	2	66	/GC80.MAP@113159	足場がもうほとんど\nなくなっちまってるよ。\nあぶない所だったねぇ。%b	발판이 거의\n없어져 버렸어.\n위험할 뻔했네.%b
1040	map	2	47	/GC80.MAP@113258	それじゃ、さっさと\n水晶に飛びこむとするかね！%b	그럼 얼른\n수정에 뛰어들어 볼까!%b
1041	map	2	42	/GC80.MAP@113419	よし、\nいちかばちか\n水晶に飛びこむんだ！%b	좋아,\n모 아니면 도다\n수정에 뛰어들자!%b
1042	map	2	33	/GC80.MAP@113493	なんとか\n間に合ったみたいだな。%b	어떻게든\n시간에 맞춘 것 같군.%b
1043	map	2	33	/GC80.MAP@113558	この水晶に\n飛びこめばいいのね？%b	이 수정에\n뛰어들면 되는 거지?%b
1044	map	2	53	/GC80.MAP@113623	この水晶に触れれば、\nリグロードへもどれるのですな。%b	이 수정을 만지면\n리그로드로 돌아갈 수 있군요.%b
1045	map	2	37	/GC80.MAP@113708	では、まずこのじいが\nまいりますぞ。%b	그럼 할아범이 먼저\n가겠습니다.%b
1046	map	2	35	/GC80.MAP@113777	この水晶に飛びこめば\nよいのだな。%b	이 수정에 뛰어들면\n되는 것이군.%b
1047	map	2	36	/GC80.MAP@113844	わーいわーい、\n%s6が一番のりーっ！%b	와～이 와～이,\n%s6가 일등～!%b
1048	map	2	35	/GC80.MAP@113912	んじゃ、\n水晶にさわっちゃおっと！%b	그럼\n수정을 만져 볼까나!%b
1049	map	2	39	/GC80.MAP@113979	・・・ぜぇぜぇ、\nこの水晶だな・・・。%b	…헉헉,\n이 수정이군….%b
1050	map	2	58	/GC80.MAP@114050	どこでもいいから、\nとっととべつの場所へ\n連れてってくれ！%b	어디든 좋으니까\n얼른 다른 곳으로\n데려가 줘!%b
1051	map	2	54	/GC80.MAP@114140	ほっほっほっ、\nこれでカカルクランも\n見おさめかのう。%b	허허허,\n이걸로 카칼클랜도\n마지막이려나.%b
1052	map	2	60	/GC80.MAP@114226	あとは、\nリグロード大陸で\n大シゴトが待っていそうじゃがな。%b	이제\n리그로드 대륙에서\n큰일이 기다리는 것 같지만.%b
1053	map	2	35	/GC80.MAP@114318	とっとと\n水晶に飛びこんじまうぜ！%b	얼른\n수정에 뛰어들자고!%b
1054	map	1	66	/GC80.MAP@115959	・・・ふぅ。\nどうにか城がくずれる前に、\n外に出られたみたいだね。%b	…휴.\n어떻게든 성이 무너지기 전\n밖으로 나온 모양이야.%b
1055	map	1	29	/GC80.MAP@116057	安心するのは、\nまだ早いぜ。%b	안심하긴\n아직 일러.%b
1056	map	1	46	/GC80.MAP@116118	うん。\nあの水晶まで、\n一気に走りぬけなきゃ！%b	응.\n저 수정까지\n단숨에 달려가야 해!%b
1057	map	1	47	/GC80.MAP@116196	敵との戦闘はなるべくさけて、\n水晶をめざそう！%b	적과의 전투는 되도록 피하고\n수정을 노리자!%b
1058	map	1	51	/GC80.MAP@116275	もたもたしてたら、\n足場がなくなってしまいそうだ！%b	꾸물거리다간\n발판이 없어져 버릴 것 같아!%b
1059	map	1	27	/GC80.MAP@116358	よっしゃ、\nいくぜぃっ！！%b	좋았어,\n간다!!%b
1060	map	3	21	/GWD2.MAP@165084	=j,襦ﾂ@ﾂD？ﾂ<ﾂ0`Ai a,	
1061	map	1	58	/GWD2.MAP@214073	あ、あねさん！\n島です！%b%h%H%m1%V100［%m0海賊%m1］%V0%m0\n	누, 누님!\n섬입니다!%b%h%H%m1%V100［%m0해적%m1］%V0%m0\n
1062	map	1	16	/GWD2.MAP@214132	島が見えやす！%b	섬이 보입니다!%b
1063	map	1	22	/GWD2.MAP@214183	こんなところに島！？%b	이런 곳에 섬이!?%b
1064	map	1	49	/GWD2.MAP@214240	いったい、どの辺まで\n流されたんだろうね・・・？%b	대체 어디까지\n떠내려온 걸까…?%b
1065	map	1	60	/GWD2.MAP@214322	あねさん、\nどうしやす！？%b%h%H%m1%V100［%m0海賊%m1］%V0%m0\n	누님,\n어쩝니까!?%b%h%H%m1%V100［%m0해적%m1］%V0%m0\n
1066	map	1	43	/GWD2.MAP@214383	船をよせるんなら、\n早目に手をうたねぇと！%b	배를 댈 거면\n빨리 손을 써야 합니다!%b
1067	map	1	39	/GWD2.MAP@214461	まよってるヒマは\nないってことかい。%b%h	망설일 틈은\n없다는 거군.%b%h
1068	map	1	74	/GWD2.MAP@214535	上等だ！\nあそこがとんでもない幽霊島か、\nそれとも黄金の眠る宝島か・・・%b%h	좋아!\n저기가 끔찍한 유령섬인지\n황금이 잠든 보물섬인지…%b%h
1069	map	1	45	/GWD2.MAP@214644	このあたしが、\n確かめてやろうじゃないかい！%b	이 몸이\n확인해 주겠어!%b
1070	map	1	49	/GWD2.MAP@214721	（どうでもいいけど、\n　お手やわらかにたのむぜ）%b	（아무래도 좋지만\n　살살 부탁한다고）%b
1071	map	1	24	/GWD2.MAP@214815	あぶない、あぶない。%b%h	위험해, 위험해.%b%h
1072	map	1	70	/GWD2.MAP@214874	町のヤツら、\nどっからあんなウデの立つのを\n見つけて来たんだろうねぇ。%b	마을 놈들, 어디서\n저런 솜씨 좋은 놈들을\n찾아왔을까.%b
1073	map	1	51	/GWD2.MAP@214976	（思いきって\n　とびうつったのはいいけど・・・）%b%h	（과감하게\n　뛰어 옮겨 탄 건 좋은데…）%b%h
1074	map	1	65	/GWD2.MAP@215059	（本当にだいじょうぶなのか？\n　見つかったら、どうするんだ！？）%b	（정말 괜찮은 거야?\n　들키면 어떡해!?）%b
1075	map	1	61	/GWD2.MAP@215156	（しようがねぇだろうが。\n　もう乗っちまったんだからよ！）%b%h	（어쩔 수 없잖아.\n　이미 타 버렸는데!）%b%h
1076	map	1	58	/GWD2.MAP@215249	（それに、\n　かくれろって言ったのは\n　お前だろうが！）%b%h	（게다가\n　숨으라고 한 건\n　너잖아!）%b%h
1077	map	1	70	/GWD2.MAP@215339	（せいぜい、あいつらに\n　見つかんないように\n　いのってるこったな）%b%h	（부디 저 녀석들한테\n　안 들키게\n　기도나 하라고）%b%h
1078	map	1	45	/GWD2.MAP@215441	（それより、\n　早いとこ陸地につかねぇかな）%b	（그보다\n　얼른 육지에 닿았으면）%b
1079	map	1	49	/GWD2.MAP@215518	（それまで\n　かくれているしかないのかなぁ？）%b%h	（그때까지\n　숨어 있는 수밖에 없나?）%b%h
1080	map	1	30	/GWD2.MAP@215599	（だいじょうぶかなぁ・・・）%b	（괜찮을까…）%b
1081	map	1	45	/GWD2.MAP@215662	あねさん、おおごとです！\nカジがききやせん！%b	누님, 큰일입니다!\n키가 안 먹힙니다!%b
1082	map	2	18	/GWD2.MAP@215742	なんだって！？%b%h	뭐라고!?%b%h
1083	map	1	60	/GWD2.MAP@215795	お前たち、\nまた、あたしのガルーダ号の整備を\nサボったね！？%b	너희들\n또 내 가루다호 정비를\n게을리했지!?%b
1084	map	1	68	/GWD2.MAP@215888	と、とんでもねぇです、\nあねさん！%b%h%H%m1%V100［%m0海賊%m1］%V0%m0\n	다, 당치도 않습니다,\n누님!%b%h%H%m1%V100［%m0해적%m1］%V0%m0\n
1085	map	1	64	/GWD2.MAP@215957	きっと・・・そう！\nさっきの陸モンが\nあばれやがったせいで・・・%b	분명…그래!\n아까 그 뭍사람이\n날뛴 탓에…%b
1086	map	1	41	/GWD2.MAP@216056	いいわけは\n後でたっぷり聞いてやるよ！%b%h	변명은\n나중에 실컷 들어 주지!%b%h
1087	map	1	45	/GWD2.MAP@216132	それより、\nさっさと手近な陸か島をさがしな！%b	그보다\n얼른 가까운 육지나 섬을 찾아!%b
1088	map	1	12	/GWD2.MAP@216210	合点です！%b	알겠습죠!%b
1089	map	1	53	/GWD2.MAP@216254	（な、なんか雲行きが\n　あやしくなってきやがったぜ）%b	（뭐, 뭔가 분위기가\n　수상해지기 시작했는데）%b
1090	map	1	44	/GWD2.MAP@216339	（%s1・・・\n　だいじょうぶかなぁ・・・？）%b	（%s1…\n　괜찮을까…?）%b
1091	map	1	32	/GWD2.MAP@216415	（ンなこと、オレが知るか！）%b%h	（그걸 내가 어떻게 알아!）%b%h
1092	map	1	58	/GWD2.MAP@216479	（それより、\n　どっかその辺に\n　しっかりつかまってろよ）%b	（그보다\n　어디 그 근처에\n　꽉 붙잡고 있어）%b
1093	map	1	66	/GWD2.MAP@216569	・・・しかし、こんなので\nその海賊とやらを\nおびき出せるもんかい？%b	…그런데 이런 걸로\n그 해적이란 놈을\n꾀어낼 수 있을까?%b
1094	map	1	68	/GWD2.MAP@216667	最近では、\n意図的にこの航路を使わないよう\nにしているらしいんだ。%b%h	요즘은\n일부러 이 항로를 안 쓰도록\n하고 있다나 봐.%b%h
1095	map	1	83	/GWD2.MAP@216767	だからこそ、\nめずらしいエサには\nすぐとびつくんじゃないか\n・・・って思うんだけど。%b	그러니까\n진귀한 미끼에는\n곧바로 달려들지 않을까\n…싶은데.%b
1096	map	1	45	/GWD2.MAP@216882	エサ・・・ねぇ。\nあまりいい感じはしねぇな。%b	미끼…라.\n별로 좋은 느낌은 안 들어.%b
1097	map	1	41	/GWD2.MAP@216959	町の人のためだから、\nしようがないよ。%b%h	마을 사람들 위해서니\n어쩔 수 없어.%b%h
1098	map	1	31	/GWD2.MAP@217032	・・・ん？\nあ、あれは・・・！%b	…응?\n저, 저건…!%b
1099	map	1	64	/GWD2.MAP@217105	また、あの島に行くのか。\n何か得るものでも\nあればいいんだがな。%b	또 그 섬에 가는 건가.\n뭔가 얻을 게\n있으면 좋겠는데.%b
1100	map	1	50	/GWD2.MAP@217202	ま、たまには\n船の旅ってのも\nいいんじゃないかい。%b	뭐, 가끔은\n배 여행도\n괜찮지 않겠어.%b
1101	map	1	60	/LB10.MAP@132334	しかし、\nそいつがどこにいるのか\nわかんないんじゃ・・・！？%b	하지만\n그놈이 어디 있는지\n모르면…!?%b
1102	map	1	47	/LB10.MAP@132426	だいいち、\n扉をとじたら、\n%s0たちはどうなる？%b	애초에\n문을 닫으면\n%s0네는 어떻게 돼?%b
1103	map	1	73	/LB10.MAP@132506	かりに\nあんたの言ってるコトが正しいとしてオレたちにそれができるのか！？%b	설령\n당신 말이 맞다 해도 우리가 그걸 할 수 있는 거야!?%b
1104	map	1	31	/LB10.MAP@132612	ダメだよ、\nぜったいダメだ！%b%h	안 돼,\n절대 안 돼!%b%h
1105	map	1	78	/LB10.MAP@132676	%s0や%s1だって、\nみんな、こっちへもどって来ようと\nしてるかも知んないだろ？%b%h	%s0도 %s1도\n다들 이쪽으로 돌아오려고\n하고 있을지도 모르잖아?%b%h
1106	map	1	41	/LB10.MAP@132787	なのに、\nその道をふさいじまうだなんて！%b	그런데\n그 길을 막아 버리다니!%b
1107	map	2	49	/LB10.MAP@132861	・・・・・・・・・。\n（↑とまどっているらしい）%b	………\n（↑당황한 듯하다）%b
1108	map	1	74	/LB10.MAP@132943	あなた方がどうお思いになろうと、\n世界を救う方法は\nこれしかありません。%b%h	여러분이 어떻게 생각하든\n세상을 구할 방법은\n이것뿐입니다.%b%h
1109	map	1	86	/LB10.MAP@133050	１０年前、\n『魔導戦役』と呼ばれる戦いで\n猛威をふるった大魔導士とその弟子がいました。%b	10년 전\n『마도 전쟁』이라 불린 싸움에서\n맹위를 떨친 대마도사와 그 제자가 있었습니다.%b
1110	map	1	37	/LB10.MAP@133169	その者たちこそが、\n諸悪のみなもと。%b	그들이야말로\n모든 악의 근원.%b
1111	map	1	85	/LB10.MAP@133239	そして、\nその者を打ち倒すことができるのは\nこの世界に残られた\nあなた方だけなのです。%b	그리고\n그자를 쓰러뜨릴 수 있는 건\n이 세계에 남으신\n여러분뿐입니다.%b
1112	map	1	49	/LB10.MAP@133357	これからみなさんを、\nその者の所に案内します。%b%h	이제 여러분을\n그자에게 안내하겠습니다.%b%h
1113	map	1	24	/LB10.MAP@133439	その後の決定は・・・%b%h	그 뒤의 결정은…%b%h
1114	map	1	45	/LB10.MAP@133496	あなた方に\nおまかせすることにしましょう。%b%h	여러분께\n맡기기로 하지요.%b%h
1115	map	1	28	/LB10.MAP@133574	・・・では、まいりますよ。%b	…그럼 가겠습니다.%b
1116	map	1	78	/LB10.MAP@133645	今日はあなた方にぜひとも、\nお伝えしなければならないコトが\nあって来ました。%b%h	오늘은 여러분께 꼭\n전해야 할 일이\n있어서 왔습니다.%b%h
1117	map	1	22	/LB10.MAP@133756	よく聞いてください。%b	잘 들어 주세요.%b
1118	map	1	95	/LB10.MAP@133811	・・・カカルクランへわたった\nあなた方のお仲間は、\nみごと私たちの期待に\nこたえてくれました。%b%h	…카칼클랜으로 건너간\n여러분의 동료는\n훌륭하게 우리의 기대에\n부응해 주었습니다.%b%h
1119	map	1	73	/LB10.MAP@133939	ですが、\n同時にそれは\n『カオス』を引き起こす\nきっかけでもあったのです。%b	하지만\n동시에 그것은\n『카오스』를 일으키는\n계기이기도 했습니다.%b
1120	map	1	70	/LB10.MAP@134045	『カオス』の力は、\nこの世界とカカルクランとを\n１つにしてしまいます。%b	『카오스』의 힘은\n이 세계와 카칼클랜을\n하나로 만들어 버립니다.%b
1121	map	1	84	/LB10.MAP@134148	それがどんなに恐ろしいことかは、\nあたりにあふれ返るモンスターで\nおわかりでしょう。%b	그것이 얼마나 무서운 일인지는\n곳곳에 넘쳐나는 몬스터를 보면\n아실 겁니다.%b
1122	map	1	70	/LB10.MAP@134265	このまま放っておけば、\n取り返しがつかないことに\nなってしまいます。%b%h	이대로 내버려 두면\n돌이킬 수 없는 일이\n되고 맙니다.%b%h
1123	map	1	109	/LB10.MAP@134368	そのためにも、今この世界で\n『カオス』を引き起こした者を倒し\n『扉』を完全にとじてしまわねば\nならないのです。%b	그러려면 지금 이 세계에서\n『카오스』를 부른 자를 쓰러뜨려\n『문』을 완전히 닫아야만\n합니다.%b
1124	map	1	30	/LB10.MAP@134509	『扉』をとじるって・・・！%b%h	『문』을 닫다니…!%b%h
1125	map	1	53	/LB10.MAP@134571	そんなコトしたら、\n%s0たちは\nどうなっちゃうのよっ！%b	그런 짓을 하면\n%s0네는\n어떻게 되는 거야!%b
1126	map	1	24	/LB10.MAP@134656	『扉』をとじる・・・%b%h	『문』을 닫는다…%b%h
1127	map	1	71	/LB10.MAP@134712	それはすなわち、ぼっちゃまや\n%s1どのを見すてる、\nというコトですな？%b%h	그건 곧 도련님과\n%s1 님을 버린다는\n말씀이십니까?%b%h
1128	map	1	35	/LB10.MAP@134815	それを、\nわしらにやれ、と・・・。%b	그걸\n우리더러 하라고…%b
1129	map	1	43	/LB10.MAP@134882	・・・わかっていたコトだ。\nやむをえまい。%b	…예상했던 일이다.\n어쩔 수 없겠지.%b
1130	map	1	14	/LB10.MAP@134957	そんなー！%b%h	그런～!%b%h
1131	map	1	36	/LB10.MAP@135003	%s1はまだ、\n向こうにいるんだよ！？%b	%s1는 아직\n저쪽에 있단 말이야!?%b
1132	map	1	30	/LB10.MAP@135071	・・・なっとくいかねぇな。%b%h	…납득이 안 가는군.%b%h
1133	map	1	41	/LB10.MAP@135133	大将はまだ、\nもどって来てねぇんだぜ。%b%h	대장은 아직\n안 돌아왔다고.%b%h
1134	map	1	30	/LB10.MAP@135206	他になんか手はねぇのかよ！？%b	다른 방법은 없는 거야!?%b
1135	map	1	41	/LB10.MAP@135268	ほっほっほっ、\n困ったことになったのう。%b	허허허,\n곤란하게 되었구먼.%b
1136	map	1	49	/LB10.MAP@135342	ウホッウホッウホッ！\n（↑よろこんでいるらしい）%b	우홋우홋우홋!\n（↑기뻐하는 듯하다）%b
1137	map	1	37	/LB10.MAP@135424	あんた、\n幽玄の森で会った・・・！%b%h	당신,\n유현의 숲에서 만난…!%b%h
1138	map	1	47	/LB10.MAP@135494	どうしたんだい、\nこんなトコまでやって来て。%b%h	웬일이야,\n이런 데까지 오고.%b%h
1139	map	1	38	/LB10.MAP@135574	まさか・・・！\n%s0たちの身に何か！？%b	설마…!\n%s0네한테 무슨 일이!?%b
1140	map	1	20	/LB10.MAP@135645	よかった・・・。%b%h	다행이다….%b%h
1141	map	1	33	/LB10.MAP@135698	みなさん、\nごぶじのようですね。%b	여러분\n무사하신 것 같네요.%b
1142	map	1	41	/LB10.MAP@135763	あなたは、\n幽玄の森で出会った・・・！%b%h	당신은\n유현의 숲에서 만난…!%b%h
1143	map	1	22	/LB10.MAP@135836	どうしてここに！？%b%h	어떻게 여기에!?%b%h
1144	map	1	32	/LB10.MAP@135890	まさか、\n%s0たちに何か・・・！%b	설마\n%s0네한테 무슨…!%b
1145	map	1	46	/LB10.MAP@135954	なんと！\n幽玄の森で会った\n妖精ではないか！%b%h	이럴 수가!\n유현의 숲의\n요정 아닌가!%b%h
1146	map	1	26	/LB10.MAP@136032	なぜ、このような所に！？%b	어째서 이런 곳에!?%b
1147	map	1	37	/LB10.MAP@136090	あのときの妖精か。\n・・・何の用だ？%b	그때의 요정인가.\n…무슨 볼일이지?%b
1148	map	1	27	/LB10.MAP@136159	あっれ～？\nえっと・・・%b%h	어라～?\n그러니까…%b%h
1149	map	1	39	/LB10.MAP@136218	あんた、\nどっかで会わなかったっけ？%b%h	당신\n어디서 만나지 않았던가?%b%h
1150	map	1	28	/LB10.MAP@136289	あれぇ、どこだっけ・・・？%b	어라, 어디였더라…?%b
1151	map	1	30	/LB10.MAP@136349	お前は、あンときの・・・！%b%h	넌 그때의…!%b%h
1152	map	1	20	/LB10.MAP@136411	今度は何の用だ！？%b	이번엔 뭐야!?%b
1153	map	1	35	/LB10.MAP@136463	ほっほっほっ、\nまた会ったのう。%b%h	허허허,\n또 만났구먼.%b%h
1154	map	1	20	/LB10.MAP@136530	今度は何じゃな！？%b	이번엔 뭔가!?%b
1155	map	1	20	/LB10.MAP@136582	・・・ん、妖精？%b%h	…응, 요정?%b%h
1156	map	1	33	/LB10.MAP@136634	ああっ！\nもしかしてあン時の！？%b	앗!\n혹시 그때의!?%b
1157	map	1	35	/LB10.MAP@136700	おう、\nあン時の妖精じゃねぇか。%b%h	오,\n그때의 요정이잖아.%b%h
1158	map	1	47	/LB10.MAP@136768	その後どうだ？\n何かかわったコトでもあったか？%b	그 뒤로 어때?\n뭔가 달라진 일이라도 있었어?%b
1159	map	1	58	/LB10.MAP@136847	ちっくしょう・・・。\nいったい、\nどうなってやがんだ！？%b%h	젠장….\n대체\n어떻게 된 거야!?%b%h
1160	map	1	65	/LB10.MAP@136937	これだけの数のモンスターが\n１度にあばれはじめるなんて・・・。%b%h	이렇게 많은 몬스터가\n한꺼번에 날뛰기 시작하다니….%b%h
1161	map	1	45	/LB10.MAP@137034	おかげでさっきから、\n押されっぱなしだぜ！%b%h	덕분에 아까부터\n밀리기만 하잖아!%b%h
1162	map	1	57	/LB10.MAP@137111	また少し北へ後退して、\nそこで防衛網をはるしかないな。%b%h	조금 더 북쪽으로 물러나서\n거기서 방어망을 칠 수밖에.%b%h
1163	map	1	39	/LB10.MAP@137200	みんな、北へ向かえっ！\n後退するんだ！%b	다들 북쪽으로 가라!\n후퇴한다!%b
1164	map	1	62	/LB10.MAP@137271	ほっほっほっ、\nこれだけいると、\nさすがに始末におえんのう。%b%h	허허허,\n이만큼이나 있으니\n역시 감당이 안 되는구먼.%b%h
1165	map	1	61	/LB10.MAP@137365	・・・ここは、少しさがって\n防衛線をしくしかないじゃろう。%b%h	…여기선 조금 물러나서\n방어선을 치는 수밖에 없겠지.%b%h
1166	map	1	54	/LB10.MAP@137458	・・・ふむ。\nそうなると、\n北へ後退するしかないのう。%b	…흠.\n그렇다면\n북쪽으로 후퇴할 수밖에.%b
1167	map	1	37	/LB10.MAP@137544	何してやがんだ、\nウチの大将は！？%b%h	뭘 하는 거야,\n우리 대장은!?%b%h
1168	map	1	49	/LB10.MAP@137613	・・・それに、\nこのうざったいモンスターども！%b%h	…게다가\n이 성가신 몬스터 놈들!%b%h
1169	map	1	55	/LB10.MAP@137694	どっからわいてきやがったんだ、\nこんなにたくさん！？%b%h	어디서 솟아난 거야,\n이렇게 잔뜩!?%b%h
1170	map	1	58	/LB10.MAP@137781	・・・くそっ、\nここも限界だ！\n反対側まで後退するぜっ！%b%h	…젠장,\n여기도 한계야!\n반대쪽까지 후퇴한다!%b%h
1171	map	1	88	/LB10.MAP@137871	・・・しかし心細いな。\n回復アイテムを買っておいたのが\nせめてもの、すくいってところか。%b	…하지만 불안하군.\n회복 아이템을 사 둔 게\n그나마 다행이라면 다행인가.%b
